ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
41,"aktikapp, dokumendikapp","file cabinet, filing cabinet",Aktenschrank m,шкаф м для документов,asiakirjakaappi                                ,Kapp dokumentide (aktikaustade) säilitamiseks,,
42,akusaag,cordless (circular) saw,Akku-Handkreissäge[maschine] f,аккумуляторная пила ж,akkupyörösaha,Käsisaag mille energiaallikaks on elektriaku,,
43,akustilised omadused,acoustic properties,Akustische Eigenschaften f pl,акустические свойства,akustiset ominaisuudet,Helisid ja nende levikeskkonda iseloomustavad omadused,,
44,akutrell,cordless drill/screwdriver,Akku-Bohrschrauber m,аккумуляторная дрель,akkuporakone,Käsidrell mille energiaallikaks on elektriaku,,
45,akutööriistad,battery-powered cordless tools,Akku-Werkzeuge pl,аккумуляторные инструменты,akkutyökalut,Käsitööriistad mille energiaallikaks on elektriakud,,
46,akvarellipaber,aquarel paper,Aquarellpapier n,акварельная бумага ж,akvarellipaperi,Paber vesivärvidega maalimiseks,,
47,alalisvoolumootor,DC motor=direct current motor,Gleichstrommotor m,двигатель (мотор) электрический постоянного тока,tasavirtamoottori,"Mootorina töötav elektrimasin, mis muundab alalisvooluenergiat mehaaniliseks energiaks",,
48,alamõõduline saematerjal,shorts,untermabiges Schnittholz n,недомерный пиломатериал м,"alimittainen, vajaamittainen, lyhyt",Normaalpikkusest väiksema pikkusega saematerjal,,
49,alasordilised tooted,seconds,"II Klasse f, zweite Qualität f",изделия ср мн второго сорта,"sekundatavara; hylkytavara, kakkoslaatu",Normaalsest madalama kvaliteediga tooted,,
50,alfatselluloos,alpha cellulose,Alphazellulose f,альфа-целлюлоза ж,alfaselluloosa,"Tselluloos, mis ei lahustu 17,5% (massiprotsenti) NaOH lahuses temperatuuril 20 ºC",,
51,alküüdviimistlus,alkyd finish,Alkydfinish n,алкидная отделка ж,alkydi pintakäsittely,Viimistlusalküüdvaikude baasil,,
52,"alumiiniumoksiid, korund","aluminium oxide, alumina",Aluminiumoxyd n,окись ж алюминия,alumiinioksidi,Sünteetiline abrasiiv luiskude ja lihvmaterjalide valmistamiseks,,
53,alumine surnud punkt,bottom dead centre/end,unterer Totpunkt m,нижная мёртвая точка ж,alempi kuolokohta,Väntmehhanismi (näit raamsaekaatril) alumine asend,,
54,alus,"base, footing, rack",Basis f,"база, основание, основа",alusta,"Masina, ehitise osa, mis võtab vahetult vastu selle surve",,
55,"alus, alusplaat  ","tray, bedplate",Beschickblech m,поддoн,,Puitlaastplaatide tehnoloogias laastupaketi transportimiseks kasutatav õhuke metallplaat,,
56,"alusnuga, tuginuga, vastunuga","bed knife, anvil","Statormesser, n (Rotorschneidemaschine); Untermesser n","неподвижный нож, упорный нож, контрнож",kiinteä veitsi,Paigalseisev nuga raiemasinates ja laasturites,,
57,aluspaber,"base paper, body paper",Rohpapier n,бумага-основа ж,peruspaperi,"Edasiseks vääristamiseks (katmiseks, immutamiseks jne) ettenähtud paber",,
58,aluspinna ettevalmistus,surface preparation,Vorbereitung f der Grundfläche,подготовка основания,pinnan esikäsittely,Pealistamisele või viimistlemisele mineva puidupinna ettevalmistamine ,,
59,"aluspinnakate, krunt",basecoat,Grunddecklage f,грунт м,"pohjasively, pohjustus",Esmane viimistluskiht (nakke suurendamiseks ja põhiviimistlusmaterjali kulu vähendamiseks),,
60,alusvalts,king roll,"Unterwalze f, Tragwalze f",нижний вал м,"kantotela, alatela",Valtspressi alumine valts,,
61,alusvärv,undercoat,Grundfarbe f,грунтовая краска,pohjamaali,Vaata aluspinnakate,,
62,ammooniumalusel keeduhape,ammonium base liquor,Kochsäure f auf Ammoniumbasis,кислота ж на аммониевом основании,ammoniumpohjainen keittoliemi,"Sulfitkeedu hape, mille üheks aktiivkomponendiks on ammooniumbisulfit",,
63,ammooniumkloriid,ammonium chloride ,Ammoniumchlorid n,хлоpистый aммоний  ,,Karbamiidliimi kõvendi kuumliimimisel,,
64,ammutusraam,deckle frame,"Schöpfrahmen m, Deckel m",черпалка ж,"dekkeli, arkkikehilön kehys",Sõelpõhjaga raam paberimassi ammutamiseks pütist paberi valmistamisel käsitsi,,
65,anaeroobne heitvee puhastus,anaerobic effluent treatment,anaerob Abwasserbehandlung f ,анаэробная очистка ж стоков,,Heitvee bioloogiline töötlus hapnikuvabas keskkonnas ,,
66,aniliinvärvaine,aniline paint,Anilinfarbe f,краска ж анилиновая,aniliiniväri,Sünteetiliste värvainete (vananenud) üldnimetus,,
67,anisotroopsus,"anisotropy, orthotropy",Anisotropie f,анизотропность ж,anisotrooppisuus,Materjali omaduste sõltuvus suunast,,
68,anorgaaniline pigment,inorganic pigment,anorganisches Pigment n,неорганический пигмент м,epäorgaaninen pigmentti,"Orgaanilisi,peamiseltsüsinikühendeid mitte-sisaldav pigment",,
69,anorgaaniline pinnakate,inorganic coating,anorganische Decklage f,неорганическое покрытие ср,epäorgaaninen pintakäsittely,Pinnakate anorgaa-nilise kelmemoo-dusti baasil,,
70,antiikmööbel,antique furniture,Antikmöbel n,мебель ж в античном стиле,antiikkikalusto,Vanaaegsed (antiiksed) mööbliesemed,,
71,antioksüdant,antioxidant,Antioxydans n,антиоксидант м,,Oksüdeerimisvastane lisand,,
72,"antipüreen, tuleaeglusti",fire retardant,Antipyren n,антипирен м,,Süttivust või põlemist takistav aine,,
73,antiseptikum,preservative,Aniseptikum n,антисептик м,"antiseptinen aine, säilytysaine","Aine, mis mikroorganisme surmab (bakteritsiidne toime) või nende arengut pärsib (bakteriostaatiline toime)",,
74,antiseptiline värv,fungicidal paint,antiseptische Farbe f,антисептическая краска ж,"Suojakerros, lahonestomaali","Esmane viimistluskiht, krunt ??",,
75,antistaatiline lihvlint,antistatic belt,antistatisches Schleifband n,антистатическая лента,,"Lihvlint, mille puhul on elektrilaengute tekkimine piiratud",,
76,antistaatiline lisaaine,antistatic additive,antistatischer Zusatz m,антистатическая добавка,antistaattinen lisäaine,Staatilist laengut vältiv või vähendav aine,,
77,"antresoolkapp, ülakapp",entresol,Oberschrank m,антресоль м,,Laealune kapp,,
78,antropomeetria,anthropometrics,Anthropometrie f,антропометрия ж,antropometria,Inimkeha ja selle osade mõõtmise metoodika,,
79,aotooksüdatsioon,autooxidation,Autooxydation f,автооксидация ж,autooksidaatio,Isehapendumine,,
80,aparaat,"apparatus,unit","Apparat m, Gerät n",аппарат м,"laite, koje","Väike keerukama ehitusega seade, mille ülesanne on informatsiooni hankida, töödelda ja inimesele või tehnosüsteemile kasutatavaks muundada",,
81,apelsinikoor,orange peel,Apfelsinenschale f,морщистость,,Kurrutunud viimistluskate,,
82,aplikatsioon,appliqué (mööbli viimistlus),Applikation f,аппликация ж,applikaatio,"Alusmaterjalile kinnitatud riidest, paberist, nahast vms.Materjalist kujunditega pinnakaunistus",,
83,aprett,coupling agent,Appret n,аппрет,tartuntaaine,"Mitmefunktsionaalne aine, mis moodustab keemilised sidemed puidu js adhesiivi (laki) vahele",,
84,arabinogalaktaan,arabinogalaktan,Arabinogalaktan n,арабиногалактан,arabinogalaktaani,Arabinoosi- ja galaktoosijääkidest koosnev polüsahhariid puidus,,
85,Arkansase luisk,"hard Arkansas stone, Arkansas oilstone","Arkansasstein m, Arkansas-Abziehstein m",брусок из камни Аркансас,Arkansas öljyhiomakivi,Looduslik valge luisk,,
86,armatuur,fitting,"Armatur f, Zubehör n",арматура ж,teräsvahvikkeet ja -siteet rakenteissa,"Põhiseadmestiku juurde kuuluv abivarustus, mis on vajalik tehnosüsteemi normaalseks tööks",,
87,astmekaliiber,?,Stufeskaliber n,калибр-уступомер,"rakotulkki, mittapala",Skaalata mõõteriist astmete mõõtmete kontrollimiseks,,
88,astmeline keet,multistage digestion,Mehrstufenkochen n f,ступенчатая варка ж ,monivaihekeitto,"Keedutehnoloogia  vahelduvate keedutsüklitega, milles kasutatakse erinevaid kemikaale",,
89,astmeline pleegitus,multistage bleaching,Mehrstufenbleiche f,ступенчатая отбелка ж,monivaihevalkaisu,"Pleegitustehnoloogia vahelduvate pleegitustsüklitega, milles kasutatakse erinevaid kemikaale",,
90,asümmeetriline liigendhing,table hinge,asymmetrisches Scharnierband n,петля шарнирная асимметрическая,"pitkä nivelsarana, pöydän jatkolevyn sarana",Erilaiuste tiibadega liigendhing,,
91,asünkroonmootor,induction motor,Asynhronmotor m,асинхронный двигатель,epätahtimoottori,"Vahelduvvoolumootor, mille kiirus sõltub koormusest",,
92,atmosfäärirõhk,atmospheric pressure,Atmosphärendruck m,атмосферное давление ср,ilmanpaine,Õhu kaalust sõltuv rõhk,,
93,atmosfäärne kuivatus,"air drying, seasoning",Lufttrocknung f,атмосферная сушка ж,"ilmakuivaus, lautatarhakuivaus",Kuivatus väljas valitsevates klimaatilistes tingimustes,,
94,atsetaatkiud,acetate fibre,Acetatfaser f,ацетатное волокно ср,asetaattikuidu,Atsetüültselluloosist saadav kiudaine,,
95,atsetüülimine,acetylation,Acetylierung f,ацетилирование с,asetylointi,Tselluloosi töötlemine etaanhappe anhüdriidiga,,
96,"atsetüültselluloos, atsetaattselluloos","acetate pulp, acetate cellulose",Acetatzellstoff m,ацетилцеллюлоза ацетатцеллюлоза ж,asetaattisellu,Atsetüleerimisega keemiliselt modifitseeritud tselluloos,,
97,auguraud,punch,"Locher m, Schneidstempel m","дырокол, пробойник",reikärauta,Tööriist pealistusmaterjalide augustamiseks,,
98,augusaag,hole-saw blade,"Ringkreissäge f, Lochkreissäge f",цилиндровая пила,reikäsaha,Silindriline saeleht trelli otsa kinnitamiseks,,
99,auruga painutamine,steam bending,"Heißbiegen n, Dampfbiegen n, Dampfbiegeverfahren n",гнутьё пропариванием,höyrytaivutus,Täispuitdetailidele kaarjate vormide andmine,,
100,"aurukatel, auruti","boiler, steam generator",Dampfanlage f, Dampfkessel n,паровой котёл,höyrynkehitin,Auru tekitamise seade puidu painutamisel,
101,aurulöögi meetod,steam explosion method,Dampfexplosionverfahren n,метод м парового взрыва,,Puitmaterjali lagundamise meetod aurusurve tekitamise ja järsu alandamisega järgneva töötluse kergendamiseks,,
102,aurulöök,vapour-streak,Dampfstoß f,паровой удар ,höyrysysäys,"Liimitatud laastupaketi niisutatud väliskihist auru intensiivne tungimine sisekihti, mis tagab kiirema kuumutuse puitlaastplaatide kuumpressimisel",,
103,aurutamine,steaming,"Dämpfen n, Dampfbehandlung f  ",пpoпapивaниe,,Puidu töötlemine auruga,,
104,"aurutuskamber, aurutustoru","steaming chamber, steam chest",Dämpfkammer f,пропарочная камера ж,höyrykammio,"Kamber, milles toimub puittoorikute kuumutamine küllastatud veeauruga nende järgneva painutamise võimaldamiseks",,
105,aurutusseade,evaporation plant,Eindampfanlage f,выпарная установка ж,haihduttamo,Mustleelise kontsentreerimiseks kasutatav seade sulfaattselluloosi tehnoloogias,,
106,aurutussüvend,steaming pit,Dämpfgrube f,парильная яма ж,höyrykanava,"Betoneeritud seintega süvend maapinnas, milles toimub spoonitootmise toorme kuumutamine küllastatud veeauruga järgneva töötluse efektiivsuse tagamiseks",,
107,autoklaavimmutus,"pressure impregnation, autoclave treatment","Autoklavimprägnierung  f, Autoklavtränkung f",автоклавная пропитка ж,painekyllästys,"Immutusprotsess, mis toimub autoklaavis vaakumi või/ja ülerõhu kasutamisega",,
108,automaatjuhtimissüsteem,control system,automatisches (selbsttätiges) Steuerungssystem n,система автоматического управления (САУ),automaatio-ohjausjärjestelmä,"Masinate, seadmete, tootmisprotsesside inimese vahetu osavõtuta juhtimise süsteem",,
109,automaatliin,transfer line,automatische Traktstrasse f,автоматичеслая линия,automaattinen linja,Automaatpingisüsteem toodete valmistamiseks inimese vahetu osavõtuta,,
110,automaatne kangalõikur,automatic fabric cutting machine,,,tietokoneohjattava automaatinen kankaanleikkuri,Arvutijuhitav kangalõikuspink,,
111,automaatpeenestuspink,autochip,Zerkleinerungssmachine für Holzabfälle f,дробильная машина для древесных отходов,"hakkuri, lastuhakkukone ?",Automaatne masin jäätmete peenestamiseks laastuks,,
112,automaatpihustus,automatic spraying,automatisches Zerstäubung f,автоматическое распыление c,automaattinen ruiskutus,"Pealekandmise viis , kus  fotosilm tagab pihustite töölehakkamise siis, kui detail on pihustuspiirkonnas",,
113,automaatpink,transfer machine,"Werkzeugautomat m, automatische Werkzeugmaschine f",станок-автомат,automaattikone,"Puidutöötluspink, mis sooritab iseseisvalt  ja jätkuvalt kogu töötsükli",,
114,avaliku koha mööbel,"public furniture, contract furniture",Gesellschaftliche Möbel n,мебель для общественных зданий,julkiskaluste(et),"Üldkasutatavates hoonetes (kinod, teatrid, klubid jne kasutatav mööbel)",,
115,avariilüliti,emercency switch,Havarieschalter m,выключатель м аварийный,,Lüliti seadme elektrivõrgust kiireks väljalülitamiseks ohu korral,,
116,avasüsteem,"basic hole system, hole basis system of fits",System Einheitsbohrung,система отверстия,reikäkantajärjestelmä,"Puidutöötlemisel kasutatav istude süsteem, mille puhul ava piirmõõtmed jäävad kvaliteedi piirides samadeks ja erinev ist saavutatakse haaratava detaili piirmõõtmete muutmisega",,
117,avatud pooridega lakkimine,open porous lacquering,offenporige Decklackierung f,лаkирование без порозаполнения,,Lakkimine puidupinna pooe täielikult täitmata,,
118,baarikapp,"cupboard, wine cabinet",Barschrank m,барный шкаф,baarikaappi,"Kapid või nende osad, milles hoitakse alkohoolseid jooke.",,
119,baaspind,basis,Grundfläche f,базовая поверхность,peruspinta,"Töödeldava tooriku või masina pind, mille järgi toimub tooriku orienteerimine töötlemisel",,
120,baastihedus,basic density,Basisdichte f,базисная плотность ж,puuaineen tiheys,"Suurus, mis iseloomustab absoluutkuiva puidu massi puidu mahuühikus rakuseinte küllastuspiiril või kõrgemal niiskusel",,
121,balansseerimisrakis,balancing stand,"Auswuchtstand m, Auswuchtgerät n",балансировочное приспособление,"tasapainotuslaite, tasapainotusalusta","Kahe paralleelse juhikuga seade ketassaagide, lihvketaste, freeside, otsfreeside jm staatiliseks balanseerimiseks",,
122,balansseerimisvõll,balancing mandrel,Auswuchtrolle f,балансировачная оправка,tasapainotuskara,Silindriline võll balanseeritava eseme kinnitamiseks ja balanseerimiseks balanseerimisseadmes,,
123,balanssiirsaag,cross-cut saw with guide bar,"Balancier(kreis)säge f, Gelenkkreissäge f",круглопильный балансирный станок,pikakatkaisusaha,Töölaua all paikneva saeketta kaarekujulise liikumisega ristisaagimise masin,,
124,baldahhiinvoodi,"dome bed, posted bed",Baldachinbett n,кровать с балдахином и занавесями,pylvässänky,Katusekujulise ehiskattega ja kardinatega voodi.,,
125,baldahhiinvoodi,"dome bed, posted bed",Baldachinbett n,кровать с балдахином и занавесями,pylvässänky,Katusekujulise ehiskattega ja kardinatega voodi.,,
126,balsapuit,balsa,Balsaholz n,бальза ж,balsa,Balsapuu väga kerge puit,,
127,balsapuu,"balsa, cotton tree, down tree",Balsa,бальзовое дерево с,balsapuu,"Ochroma lagopus.  Puitu kasutatakse troopikakiivrite, ujumisvööde ja muude sarnaste toodete tootmisel",,
128,"baluster, võrepost",baluster,Baluster m,балясина ж,,Võrepiirde (sageli treitud) post,,
129,"balustraad, võrepiire",balustrade,"Balustrade f, Brüstung f",балюстрада ж,,"Trepi, rõdu jne käsipuust ja postidest koosnev piire",,
130,barokk,baroque,Barockstil n,барок,barokkityyli,"Mööblistiil aastatel 1600-1715, iseloomulikud massiivsus ja raskepärane toretsemine, treitud spiraal- ja ümarkaunistused",,
131,baseerimine,basing,"Basierung f, Basieren n",базирование,keskitys,Tootele valitud koordinaadistikus  soovitava asendi andmine tema valmistamisel,,
132,"baseerimisseade, tsentreerimisseade",centering unit,Basierungsanlage f,базирующее устройство ср,"keskitinlaite, keskityslaite",Seade paku sisse mahtuva maksimaalse läbimõõduga kujuteldava silindri telje ühitamiseks spoonikoorimispingi spindlite pöörlemisteljega,,
133,beetatselluloos,beta-cellulose,Betazellulose f,бета-целлюлоза ж,betaselluloosa,"Tselluloos, mis lahustub 17,5% NaOH lahuses temperatuuril 20 ºC, kuid sadeneb välja lahuse hapustamisel",,
134,biidermeier,biedermeier,Biedermeiernstil m,бидермейер,biidermeiertyyli,"Mööblistiil aastatel 1830-1850,  nimetatakse ka hilisampiiriks kuna on ampiiri väikekodanlik vorm, iseloomulikud lauged kumerused ja poleeritud mahagonpinnad ",,
135,bimetallist keedukatel,plated digester,bimetallischer Kocher m,биметаллический котёл м,bimetallikattila,Happekindla kihiga terasest katel tselluloosi keetmiseks happelisel keedumeetodil,,
136,Bintangor,Bintangor,Bintangor,калофиллюм,,"Lehtpuu,  Calophyllum;  Kood: CLXX",,
137,biodiislikütus,biodiesel,Biodiesel m,биодизель м,biodiesel,Gaasistatud lignotselluloossest toormest peamiselt katalüütilisel meetodil saadav diiselkütus,,
138,bioetanool,bioethanol,Biospiritus m,биоэтанол м,bioetanoli,Puidust või muust taimsest toormest hüdrolüüsi või gaasistamise meetodil järgneva bioloogilise või katalüütilise töötlusega saadav ja mootorikütusena kasutatav piiritus,,
139,biokahjustus,biodeterioration,biologischer Abbau m,биоповреждение ср,"biologinen hajoama, biohajoama ??",Välimuse rikutus ja/või tugevusomaduste vähenemine bioloogiliste tegurite mõjul.,,
140,biokeemiline hapnikutarvidus (BHT),biochemical oxygen demand (BOD),biochemischer Sauerstoffbedarf m,биохимическая потребность кислорода,biokemiallinen hapenkulutus,Heitvee biolaguneva aine poolt tarbitava hapniku kogus,,
141,biokeemiline töötlus,biochemical treatment,biochemische Verhandlung f,биохимическая обработка ж,biokemiallinen muokkaus,Orgaanilise materjali töötlus samaaegselt keemilisel ja bioloogilisel meetodil,,
142,"biomuda, aktiivmuda",biosludge,Bioschlamm m,активный ил м,biolieju,Biopuhastites moodustuv reovees sisalduvaid orgaanilisi aineid lagundavate mikroorganismidega muda,,
143,blokeering,blockage,Sperre f,"блокировка, блокировочное устройство, блокировочный механизм","lukituslaite, sulku","Mehaaniline või elektriline seadis, mis välistab kahe või enama protsessi koostoimumise",,
144,blokeerumisvastane sidur?,"anti-locking clutch, torque limiting clutch",Sicherheitskupplung f,протевоблокирующее сцепление,lukkiutumisen estokytkin,"Seade, mis kaitseb ajamit saeketta (vms?) kinnikiilumisel",,
145,bombeering,"camber, crowning","Bombage f, Wölbung f",бомбировка ж,bombeeraus,"Paberimasina pressivaltsi läbimõõdu suurenemine keskosa suunas, mis kompenseerib pressimissurvest tingitud läbipainet ",,
146,"Bonnel,  vedruplokk",,beiderseitiger Sprungfederblock m,пружинный блок из двухконусных пружин соединённых спиралями,joustinpatja," Spiraalvedrudega seotud  kaksikkoonusvedrude süsteem,  mille välisgabariidis teraslint ploki mõlemal poolel",,
147,bpm,blows per minute,Schläge pro Minute,ударов в минуту,iskua minuutissa,Lööki minutis. Löökpuurimise mõõtühiku tähis,,
148,briketeerima,wafer,brikettieren,брикетировать,briketöinti,Brikette valmistama,,
149,briketipress,briquette press,Brikettierpresse f,брикетировочный пресс м,brikettipuristin,Seade lähtematerjalist brikettide pressimiseks,,
150,brikett,"block, briquet",Brikett n,брикет м,briketti,"Peeneteralisest, tolmjast või kiudsest materjalist, ka laastudest vms tootmisjäätmetest pressitud korrapärase kujuga toode",,
151,bubingapuu ,"bubinga, ","Bubinga n, ",бубинга ж,"bubinga, ",Guibourtia tessmannii. Puidu kasutatakse spooni tootmiseks ja klaveritööstuses,,
152,butanoolitud aminovaik-pinnakate,butanolated aminoresin coating,butanolierte Aminoharzdecklage f,покрытие на основе бутанолизированной аминной смолы ср,modifioitu aminohartsi pinnoite ??,Plastifitseeritud ja parendatud veekindlusega aminovaik,,
153,büroolaud,"office table, secretaire",Bürotisch m,конторский стол,"toimistopöytä,  työpöytä",Bürootöödeks sobiv tavaliselt laegastega laud.,,
154,"büroomööbel, kontorimööbel","office furniture, institutional furniture",Büromöbel n,конторская мебель,"konttorikalusteet, toimistokalusteet","Bürootöödeks sobivad mööblitooted (pöördtoolid, kompuuterilauad jne)",,
155,"CAD, raalprojekteerimine","CAD, computer aided design","CAD, rechnerunterstützte Konstruktion",машинное проектирование,tietokoneavusteinen suunnittelu,"Projektide ja tehnoloogia automatiseeritud välmimine, analüüsimine ja optimeerimine arvutiga",,
156,CAD/CAM süsteem,CAD/CAM system,CAD/CAM,CAD/CAM-система,CAD/CAM järjestelmä,"Tehnoloogia, kus arvutis valmistatud toote kujutis transformeeritakse NC-masina juhtkoodideks",,
157,"CAM, raalvalmistus, raaltootmine","CAM, computer aided manufacturing","CAM, rechnerunterstützte Fertigung f",САМ-система,tietokoneavusteinen valmistus,Raalprojekteerimisega kujundatud tehnoloogia - toodete automaatne valmistamine arvjuhtimispinkides,,
158,CITES,Convention of International Trade in Endangered Species,,международная конвенция защиты пород находящимися под угрозой исчезновения,,"Ohustatud Liikide Rahvusvahelise Kaubanduse Konventsioon, reguleerib ohustatud metsade kaubanduslikku müüki",,
159,C-kujuline pitskruvi,"G-cramp, C-cramp","C-Zwinge f, Bügelschraubzwinge f",C-образная струбцина,G-puristin,Enamasti valuterasest valmistatud ühest tükist raamiga suure jäikusega seadis detaili töölauale kinnitamiseks,,
